Callsign, AircraftType, Departure, Destination, SpawnTime, DespawnTime,Flight Time, Info, TA, RA, !BOOM!,,,,,,,,,
KLM262,B77W,KMHT,ZBAA,2290.62,12757.38,174.4,0,0,0,0,,,,,,,,,
DAL619,B788,KMSY,ZGGG,2626.32,13298.04,177.9,0,0,0,0,,,,,,,Aircraft Type,Number of Aircraft,Average Crossing Time
TSC740,B77W,MMUN,LWSK,1571.4,13324.8,195.9,0,0,0,0,,,,,,,B789,277,177.3
UAE725,B772,CYUL,EGCC,2310.24,13337.82,183.8,0,0,0,0,,,,,,,B77W,259,176.3
DAL967,A388,KRNO,RJTT,4058.52,13702.38,160.7,0,0,0,0,,,,,,,B788,272,185.2
IBE547,A359,MMPR,EDDL,2994.42,13794.06,180,0,0,0,0,,,,,,,B772,382,181
TSC621,A343,MMCS,EGCC,3403.98,13873.8,174.5,0,0,0,0,,,,,,,A359,229,177.4
UAL670,A359,KDLH,UAII,3194.4,14103.9,181.8,0,0,0,0,,,,,,,A333,235,183.4
ETD478,B788,MMPR,ZBAA,3531.12,14203.98,177.9,0,0,0,0,,,,,,,A332,174,183.9
BAW592,A359,MMPR,EGLL,4352.94,14589.24,170.6,0,0,0,0,,,,,,,A339,166,182.3
BAW506,B77W,CYOW,VOHS,3795.24,14926.2,185.5,0,0,0,0,,,,,,,A35K,132,177.5
BAW72,B748,CYFB,LEMD,4565.46,15048.84,174.7,0,0,0,0,,,,,,,B77L,94,175.9
THY668,B77L,CYYC,ZBAA,4849.08,15086.94,170.6,0,0,0,0,,,,,,,B748,154,169.7
DLH421,A333,KDLH,LOWW,3888.72,15145.86,187.6,0,0,0,0,,,,,,,B78X,111,178.3
EIN155,B788,CYQB,ZSPD,4485.06,15158.04,177.9,0,0,0,0,,,,,,,B763,212,188.3
BAW664,B763,KDSM,ULLI,4115.52,15264.66,185.8,0,0,0,0,,,,,,,B744,139,169.6
THY16,A35K,KTPA,EDDH,4775.1,15573.3,180,0,0,0,0,,,,,,,B764,102,187.6
KLM325,A333,CYQM,LZIB,4951.92,15747.18,179.9,0,0,0,0,,,,,,,A388,105,166.5
ETD819,B77L,KCHS,UHWW,5342.34,15809.64,174.5,0,0,0,0,,,,,,,A343,25,176.5
KLM872,B772,KMKE,OIMM,4234.32,15817.14,193,0,0,0,0,,,,,,,B752,38,182.4
THY388,B788,KMKE,EGLL,5258.46,15934.8,177.9,0,0,0,0,,,,,,,A346,53,179.2
EIN402,B77L,KICT,EGLL,5791.2,16026.12,170.6,0,0,0,0,,,,,,,,,
DAL618,B772,MMPR,RJAA,5555.1,16237.56,178,0,0,0,0,,,,,,,,,
LOT151,A333,KPWM,EGPH,5763.12,16322.1,176,0,0,0,0,,,,,,,,,
BAW691,A359,CYYC,EGFF,5468.1,16380.84,181.9,0,0,0,0,,,,,,,,,
BAW300,A359,CYWG,EDDB,5600.76,16402.38,180,0,0,0,0,,,,,,,,,
IBE863,A343,KFNT,VOCI,4662.66,16416.36,195.9,0,0,0,0,,,,,,,,,
IBE308,B77W,KRNO,LIRF,5106.12,16456.44,189.2,0,0,0,0,,,,,,,,,
TSC225,B77W,KSEA,RJTT,6123,16589.28,174.4,0,0,0,0,,,,,,,,,
BAW889,B752,KBGR,UUEE,5712.18,16620.9,181.8,0,0,0,0,,,,,,,,,
EIN510,B748,KBGR,EGMC,6565.26,16620.96,167.6,0,0,0,0,,,,,,,,,
SAS443,A35K,KBIS,EPKK,5973.6,16888.26,181.9,0,0,0,0,,,,,,,,,
IBE100,B77W,CYFB,RJAA,6654.96,16895.52,170.7,0,0,0,0,,,,,,,,,
AFR434,A35K,CYQT,UTSS,5197.56,16946.04,195.8,0,0,0,0,,,,,,,,,
AFR657,B789,CYWG,LOWW,5845.5,16974.12,185.5,0,0,0,0,,,,,,,,,
AAL38,A332,KPHL,ZUUU,5904.36,17168.16,187.7,0,0,0,0,,,,,,,,,
IBE577,B744,KBTV,EGAA,6740.88,17226.96,174.8,0,0,0,0,,,,,,,,,
DAL816,A359,MMUN,EPKK,6782.88,17243.82,174.3,0,0,0,0,,,,,,,,,
AAL952,B788,KDSM,RJGG,6351.06,17259.6,181.8,0,0,0,0,,,,,,,,,
VIR146,A333,KSEA,EKCH,6698.1,17259.66,176,0,0,0,0,,,,,,,,,
UAE717,B772,KLIT,LKPR,6309,17449.98,185.7,0,0,0,0,,,,,,,,,
SAS968,A339,KPHX,LIRF,6229.38,17488.44,187.7,0,0,0,0,,,,,,,,,
DLH408,A339,CYYZ,LWSK,5405.52,17528.58,202.1,0,0,0,0,,,,,,,,,
UAL348,B763,KBWI,EDDM,5025.6,17542.56,208.6,0,0,0,0,,,,,,,,,
IBE341,B77W,KSJC,LIMC,6470.76,17602.32,185.5,0,0,0,0,,,,,,,,,
EIN454,A35K,KFLL,LSGG,6835.14,17634.48,180,0,0,0,0,,,,,,,,,
DAL597,A388,KPWM,EBLL,7997.1,17641.92,160.7,0,0,0,0,,,,,,,,,
EIN458,B788,MMTJ,RJGG,6428.7,17688.72,187.7,0,0,0,0,,,,,,,,,
DAL323,A388,CYXE,OYSN,7041.06,17732.76,178.2,0,0,0,0,,,,,,,,,
LOT659,A332,CYFC,LSZH,6867,17778.48,181.9,0,0,0,0,,,,,,,,,
TSC345,A359,CYQB,UUDD,7540.32,17778.54,170.6,0,0,0,0,,,,,,,,,
TSC163,B789,KATL,UKLL,6083.76,17832.84,195.8,0,0,0,0,,,,,,,,,
TAP355,A333,CYFB,EGLL,6387.42,17871.18,191.4,0,0,0,0,,,,,,,,,
EIN527,B78X,CYQM,EDDL,7437.6,17944.26,175.1,0,0,0,0,,,,,,,,,
UAL55,B78X,KBOI,EDDF,6176.1,17977.86,196.7,0,0,0,0,,,,,,,,,
AFR835,B744,KMKE,ULLI,7639.74,18018.12,173,0,0,0,0,,,,,,,,,
VIR316,B788,CYMX,EGAA,7402.08,18076.44,177.9,0,0,0,0,,,,,,,,,
BAW478,B772,CYYR,EDDH,7067.58,18090.18,183.7,0,0,0,0,,,,,,,,,
EIN629,A333,CYVR,RJGG,6951.66,18090.18,185.6,0,0,0,0,,,,,,,,,
AFR162,A359,KBIL,EGPF,7294.5,18096.72,180,0,0,0,0,,,,,,,,,
EIN165,B772,KMSY,UWKD,6991.86,18130.2,185.6,0,0,0,0,,,,,,,,,
ETD615,A333,KPHX,LFMN,6523.2,18229.14,195.1,0,0,0,0,,,,,,,,,
LOT682,B788,KPHL,LHBP,6020.34,18267.36,204.1,0,0,0,0,,,,,,,,,
AAL543,A359,CYFB,UUDD,8083.38,18320.7,170.6,0,0,0,0,,,,,,,,,
DLH485,B763,KDLH,ULLI,7223.52,18373.02,185.8,0,0,0,0,,,,,,,,,
IBE290,A359,KGEG,UWKD,7469.46,18379.56,181.8,0,0,0,0,,,,,,,,,
LOT664,B77W,CYYJ,LDZA,7330.38,18464.04,185.6,0,0,0,0,,,,,,,,,
BAW749,A359,CYQX,EDDP,8026.02,18491.88,174.4,0,0,0,0,,,,,,,,,
SWR382,B789,KSFO,LHBP,7196.46,18544.32,189.1,0,0,0,0,,,,,,,,,
