Callsign, AircraftType, Departure, Destination, SpawnTime, DespawnTime,Flight Time, Info, TA, RA, !BOOM!,,,,,,,,,
AFR896,A35K,CYLW,EGMC,2995.68,13230.96,170.6,0,0,0,0,,,,,,,,,
DAL730,B788,CYFC,ZSPD,2796.72,13709.28,181.9,0,0,0,0,,,,,,,Aircraft Type,Number of Aircraft,Average Crossing Time
VIR446,A388,CYUL,EDDF,3058.32,14132.16,184.6,0,0,0,0,,,,,,,B789,329,177
UAE756,B78X,CYSJ,LFPO,2767.86,14160.48,189.9,0,0,0,0,,,,,,,B77W,299,177.2
SWR353,B788,KOKC,EBBR,2735.52,14344.68,193.5,0,0,0,0,,,,,,,B788,285,184.3
THY658,A359,KBIL,DAOR,3153.96,14501.22,189.1,0,0,0,0,,,,,,,B772,443,180.4
SAS773,B772,CYFC,LBWN,3426.96,14567.82,185.7,0,0,0,0,,,,,,,A359,200,176.9
IBE100,A359,KJFK,EGKK,4518.18,14759.22,170.7,0,0,0,0,,,,,,,A333,267,182.4
UAE37,B77W,KFNT,LEBL,3848.16,14759.28,181.9,0,0,0,0,,,,,,,A332,168,184.6
ETD655,B772,KMSY,LDZA,3295.2,14878.68,193.1,0,0,0,0,,,,,,,A339,176,182.8
IBE254,B78X,CYZF,EGLL,4415.52,14924.46,175.1,0,0,0,0,,,,,,,A35K,128,176.6
AFR301,A333,KMSY,RKSI,4199.34,14996.04,179.9,0,0,0,0,,,,,,,B77L,98,178.3
AAL339,B789,KTPA,UTSB,3929.4,15062.64,185.6,0,0,0,0,,,,,,,B748,156,169.8
DLH738,A343,MMCS,EINN,4330.5,15132.9,180,0,0,0,0,,,,,,,B78X,125,177.9
AFR80,A388,KROC,LROP,4708.2,15199.2,174.9,0,0,0,0,,,,,,,B763,245,188.5
BAW229,A339,KFLL,EDDL,4119.9,15258.9,185.7,0,0,0,0,,,,,,,B744,158,169.5
TSC27,B77W,KTPA,EBLL,5026.32,15266.28,170.7,0,0,0,0,,,,,,,B764,149,188.1
UAL466,B77W,KDTW,LSZH,4855.5,15653.82,180,0,0,0,0,,,,,,,A388,152,166.1
SAS496,B763,CYLW,DTTJ,3732.06,15818.76,201.4,0,0,0,0,,,,,,,A343,23,177.8
SAS46,A333,CYXU,UUEE,5258.7,15818.76,176,0,0,0,0,,,,,,,B752,26,182.5
LOT400,B788,KMSY,EGSS,4945.38,15857.88,181.9,0,0,0,0,,,,,,,A346,46,180.3
IBE967,A35K,KBOI,RKSS,5424.78,15891.48,174.4,0,0,0,0,,,,,,,,,
