Callsign, AircraftType, Departure, Destination, SpawnTime, DespawnTime,Flight Time, Info, TA, RA, !BOOM!,,,,,,,,,
SAS321,A35K,KRNO,EGCC,2479.44,12943.86,174.4,0,0,0,0,,,,,,,,,
AAL444,A339,CYFB,EGSS,2866.5,13428.12,176,0,0,0,0,,,,,,,Aircraft Type,Number of Aircraft,Average Crossing Time
AAL230,A332,KGRR,EICM,2292.3,13553.16,187.7,0,0,0,0,,,,,,,B789,259,177.3
TSC640,B744,CYXX,LFMN,3049.5,13745.52,178.3,0,0,0,0,,,,,,,B77W,240,176.2
UAE510,B788,CYYT,EDDL,1640.4,13891.8,204.2,0,0,0,0,,,,,,,B788,245,185.8
EIN208,A359,CYSJ,EDDF,3473.46,13936.8,174.4,0,0,0,0,,,,,,,B772,340,180.4
AFR960,B788,CYVR,UHWW,3343.44,14255.34,181.9,0,0,0,0,,,,,,,A359,194,176.7
VIR576,A359,CYYG,ZSPD,3999.36,14466.66,174.5,0,0,0,0,,,,,,,A333,217,182
BAW997,A332,CYQR,LOWW,3869.64,15127.26,187.6,0,0,0,0,,,,,,,A332,166,185.3
TSC899,B763,KGEG,EDDM,3701.34,15206.16,191.7,0,0,0,0,,,,,,,A339,135,181.6
TSC80,A359,KDSM,EGKK,5046.42,15283.74,170.6,0,0,0,0,,,,,,,A35K,106,177.3
VIR609,B789,CYQR,EGTE,4274.7,15408.9,185.6,0,0,0,0,,,,,,,B77L,96,177.3
IBE531,B77W,KDTW,EDDF,4970.64,15434.94,174.4,0,0,0,0,,,,,,,B748,130,170.3
TAP631,B77L,KSTL,EGAA,4759.44,15673.2,181.9,0,0,0,0,,,,,,,B78X,117,176.7
DLH511,A339,KMIA,ULLI,4541.04,15679.8,185.6,0,0,0,0,,,,,,,B763,185,188.7
TSC130,A339,MMZP,OYSN,4153.5,15857.4,195.1,0,0,0,0,,,,,,,B744,106,169.6
SWR487,A35K,CYYG,EHAM,4633.38,15981.6,189.1,0,0,0,0,,,,,,,B764,98,189.3
UAE512,B78X,CYQT,UHWW,5230.68,16076.22,180.8,0,0,0,0,,,,,,,A388,99,166.9
EIN507,A388,CYQM,EGLL,5988.66,16167.66,169.7,0,0,0,0,,,,,,,A343,39,175.7
DAL944,B789,KIAD,VEBS,4436.7,16187.34,195.8,0,0,0,0,,,,,,,B752,37,183.4
ETD211,B763,KJFK,RKSS,5287.56,16193.7,181.8,0,0,0,0,,,,,,,A346,31,179.4
UAL848,B744,MMCL,VEBS,5449.44,16351.62,181.7,0,0,0,0,,,,,,,,,
VIR309,A339,CYXU,EETN,5796.72,16358.22,176,0,0,0,0,,,,,,,,,
UAE411,A35K,KMCI,EBLL,6177.66,16415.88,170.6,0,0,0,0,,,,,,,,,
TAP297,B788,CYWG,LFLL,5114.82,16488.96,189.6,0,0,0,0,,,,,,,,,
AFR991,B78X,KMSY,EIDW,5591.1,16546.86,182.6,0,0,0,0,,,,,,,,,
EIN452,A388,KOMA,EDDP,6050.58,16747.14,178.3,0,0,0,0,,,,,,,,,
DLH758,A35K,KMSY,ZUUU,6112.08,16912.08,180,0,0,0,0,,,,,,,,,
TSC155,B772,KGEG,EGAA,6594.6,17044.68,174.2,0,0,0,0,,,,,,,,,
IBE911,A332,CYXE,LEMD,5733.18,17112.54,189.7,0,0,0,0,,,,,,,,,
SAS966,B789,KPWM,LFPO,5861.16,17210.76,189.2,0,0,0,0,,,,,,,,,
SAS399,A333,KIAD,EDDH,6223.5,17361.54,185.6,0,0,0,0,,,,,,,,,
