Callsign, AircraftType, Departure, Destination, SpawnTime, DespawnTime,Flight Time, Info, TA, RA, !BOOM!,,,,,,,,,
KLM256,A332,KMSN,VABB,1867.62,12875.76,183.5,1,0,0,0,,,,,,,,,
UAE289,A346,KFLL,OPLA,2563.14,12902.1,172.3,0,0,0,0,,,,,,,Aircraft Type,Number of Aircraft,Average Crossing Time
DAL950,A333,KATL,FBSK,1350.48,13344.24,199.9,1,0,0,0,,,,,,,B789,372,141.6
SWR885,A343,MMPR,LJLJ,2626.62,13424.46,180,0,0,0,0,,,,,,,B77W,319,147.6
TAP692,B789,KMKE,FIMP,2945.46,13443.12,175,0,0,0,0,,,,,,,B788,320,150.6
ETD91,B748,KMCI,UKBB,3854.16,14016.06,169.4,0,0,0,0,,,,,,,B772,316,158.2
TSC533,B744,CYQX,OIII,3727.68,14509.98,179.7,0,0,0,0,,,,,,,A359,273,141.7
KLM64,B772,CYHM,UKBB,3633.48,14802.84,186.2,0,0,0,0,,,,,,,A333,242,144.9
THY957,A333,MMCS,FBSK,3179.76,14802.9,193.7,0,0,0,0,,,,,,,A332,206,149.7
DAL927,A35K,KLIT,HBBA,4385.46,15033.3,177.5,0,1,0,0,,,,,,,A339,178,156.1
SWR54,A339,KBGR,EPWA,4308,15073.26,179.4,0,0,0,0,,,,,,,A35K,141,132.6
TSC904,B78X,CYYT,LKPR,3996.72,15120,185.4,0,0,0,0,,,,,,,B77L,127,143
AAL456,A339,KIAD,GMMN,4567.08,15324.54,179.3,0,0,0,0,,,,,,,B748,98,158.5
LOT815,A359,CYXU,FLKK,4699.56,15397.26,178.3,2,1,0,0,,,,,,,B78X,92,159.8
AFR928,B789,KJFK,LWSK,4469.34,15509.52,184,0,0,1,0,,,,,,,B763,131,177.7
ETD61,A35K,CYYG,ORER,5192.7,15568.98,172.9,0,0,0,0,,,,,,,B744,96,161.5
KLM813,B77W,KMSP,OPIS,4950.3,15576.36,177.1,9,16,1,0,,,,,,,B764,68,178.6
SWR980,B772,KSYR,LSZH,5114.34,15614.7,175,0,0,0,0,,,,,,,A388,81,148.3
LOT229,A359,KBTV,FABL,5032.5,15726.06,178.2,1,0,0,0,,,,,,,A343,27,142.9
SAS584,B764,KMIA,LFPG,3418.62,15805.5,206.4,0,0,0,0,,,,,,,B752,29,171.2
VIR13,B772,KFLL,UTAA,4758.6,15858.54,185,0,0,0,0,,,,,,,A346,41,137.8
SAS68,B788,KATL,FABL,4851.42,15864.18,183.5,0,0,0,0,,,,,,,,,
AAL229,B77L,KMSN,ORER,5605.98,15911.82,171.8,0,0,0,0,,,,,,,,,
VIR579,B744,CYVR,LGAV,5963.64,16101.84,169,0,0,0,0,,,,,,,,,
LOT113,A339,KDLH,LEBL,4118.4,16113.84,199.9,0,0,0,0,,,,,,,,,
AAL582,B789,KBNA,VOHS,5471.88,16216.14,179.1,0,0,0,0,,,,,,,,,
THY709,B77L,CYFC,OERK,5271.78,16394.52,185.4,1,0,0,0,,,,,,,,,
AAL718,A359,KLIT,OERK,5846.82,16475.4,177.1,3,0,1,0,,,,,,,,,
TSC659,B788,KMSY,LIMC,5415.96,16520.22,185.1,52,36,0,0,,,,,,,,,
DLH840,A333,CYSJ,GMMN,5539.08,16560.12,183.7,46,12,0,0,,,,,,,,,
TAP804,A332,KFAR,OISS,5393.58,16573.92,186.3,0,0,0,0,,,,,,,,,
KLM643,B77W,KLAX,UTTT,6516.72,16612.92,168.3,14,11,22,0,,,,,,,,,
AFR421,B77W,CYXX,FLKK,5726.4,16612.92,181.4,4,26,0,0,,,,,,,,,
AAL260,A333,KGEG,FLKK,6285.72,16713.72,173.8,29,0,0,0,,,,,,,,,
DLH955,A35K,MMMY,EBBR,6071.88,16747.38,177.9,81,20,9,0,,,,,,,,,
BAW838,B77W,KBOI,GMMN,6236.22,16754.7,175.3,24,3,2,0,,,,,,,,,
VIR166,B77W,KGEG,LZIB,6344.4,16836.3,174.9,30,1,2,0,,,,,,,,,
DAL995,B77W,KDEN,HAAB,5912.16,16868.64,182.6,0,0,0,0,,,,,,,,,
ETD475,A339,KCHS,DIAP,5664.06,16935.78,187.9,0,0,0,0,,,,,,,,,
DLH242,A332,MMPR,DGAA,6130.62,16949.94,180.3,6,0,0,0,,,,,,,,,
DAL184,B763,CYEG,LIRF,5788.2,16982.64,186.6,0,0,0,0,,,,,,,,,
AFR207,B789,KFNT,OKBK,6183.96,17001.3,180.3,0,0,0,0,,,,,,,,,
ETD387,A388,CYUL,LEBL,7504.68,17134.26,160.5,0,0,0,0,,,,,,,,,
KLM50,B772,CYSJ,HSSS,6015.66,17134.26,185.3,21,0,90,0,,,,,,,,,
AFR35,A346,KSEA,OISS,6377.22,17140.86,179.4,0,2,21,0,,,,,,,,,
UAE535,B789,KSEA,HSSS,6428.46,17159.46,178.9,0,0,1,0,,,,,,,,,
LOT216,A388,KSAN,VIDP,7258.74,17198.64,165.7,0,0,0,0,,,,,,,,,
VIR199,A35K,CYXX,OKBK,6745.5,17449.32,178.4,24,1,3,0,,,,,,,,,
TAP802,A333,KATL,LFPG,6654.12,17475.3,180.4,0,0,0,0,,,,,,,,,
DAL108,A359,CYQM,VGHS,6614.28,17481.12,181.1,6,5,27,0,,,,,,,,,
LOT956,B77W,KOMA,GMMX,7029.78,17515.44,174.8,0,1,0,0,,,,,,,,,
BAW718,A333,KFLL,OYAA,6564.12,17585.16,183.7,0,0,0,0,,,,,,,,,
VIR497,B77L,KDCA,EDDP,6825.96,17591.7,179.4,3,6,0,0,,,,,,,,,
TSC479,B77L,MMMX,HBBA,7366.32,17725.08,172.6,0,0,0,0,,,,,,,,,
AAL838,B744,KSFO,OEAB,7183.86,17770.92,176.5,76,0,0,0,,,,,,,,,
VIR688,A339,KMSP,EHAM,6697.8,17982.24,188.1,324,21,11,0,,,,,,,,,
UAE919,B77W,MMTJ,OMAA,6947.4,18002.88,184.3,1,13,3,0,,,,,,,,,
ETD616,A35K,CYHM,OIKB,6992.82,18008.46,183.6,127,184,53,0,,,,,,,,,
ETD495,A333,CYQM,OPLA,7066.38,18021.72,182.6,51,3,11,0,,,,,,,,,
DLH357,B748,KMIA,UTSB,7648.08,18054.42,173.4,2,0,0,0,,,,,,,,,
DAL131,B772,KDEN,DGAA,7608.72,18081.42,174.5,0,0,0,0,,,,,,,,,
IBE950,A359,KOMA,OYSN,7330.62,18147.54,180.3,342,28,3,0,,,,,,,,,
EIN978,B788,CYXX,LIRF,6781.92,18153.24,189.5,105,18,2,0,,,,,,,,,
