Callsign, AircraftType, Departure, Destination, SpawnTime, DespawnTime,Flight Times, Info, TA, RA, !BOOM!,,,,,,,,,
SAS17,A359,KDLH,LSGG,1370.34,12665.46,188.3,0,0,0,0,,,,,,,,,
KLM437,B772,KPDX,OYAA,2936.58,13201.68,171.1,0,0,0,0,,,,,,,Aircraft Type,Number of Aircraft,Average Crossing Time
EIN7,B788,CYWG,VOMM,2340.6,13591.2,187.5,0,0,0,0,,,,,,,B789,426,140.1
AAL674,B788,MMZP,LIRF,2433.3,13822.08,189.8,0,0,0,0,,,,,,,B77W,359,140.8
EIN485,B748,KMCO,OKBK,3240.9,13888.02,177.5,0,0,0,0,,,,,,,B788,311,154.6
AFR970,A388,KOAK,LEBL,4084.5,14053.02,166.1,0,0,0,0,,,,,,,B772,360,156.9
AFR667,B748,CYTZ,UTSB,4547.58,14411.64,164.4,0,0,0,0,,,,,,,A359,274,136.9
LOT772,A332,MMZP,OTHH,3029.82,14452.08,190.4,0,0,0,0,,,,,,,A333,307,150
BAW555,B77W,KPHX,OKBK,3017.16,14498.7,191.4,0,0,0,0,,,,,,,A332,168,148.3
AFR450,B77W,CYXE,OEJN,3726.48,14570.22,180.7,0,0,0,0,,,,,,,A339,199,137.7
AFR528,B77W,KPHL,GQNN,4414.2,14738.58,172.1,4,0,1,0,,,,,,,A35K,169,143.4
SWR746,B77W,KJAX,DAOR,4004.34,14786.04,179.7,2,0,1,0,,,,,,,B77L,141,142.6
SWR835,A388,KSAN,LKPR,4700.4,14805.72,168.4,0,0,0,0,,,,,,,B748,107,158
UAL243,B764,CYYZ,OPLA,3402.66,14933.58,192.2,0,0,0,0,,,,,,,B78X,113,155.5
UAL390,B77W,CYYZ,EDDL,4621.14,15314.4,178.2,13,0,0,0,,,,,,,B763,154,174.8
DAL976,A359,CYYZ,DAKK,5095.5,15335.82,170.7,0,3,6,0,,,,,,,B744,102,152.3
KLM398,B77L,KBIL,GVAC,3858.9,15347.88,191.5,0,0,1,0,,,,,,,B764,82,170.5
SAS546,B763,KDLH,OLBA,3781.38,15451.74,194.5,0,0,0,0,,,,,,,A388,85,151.6
SWR37,B764,CYYZ,OJAI,4206.24,15736.74,192.2,0,0,0,0,,,,,,,A343,42,127.7
BAW892,A339,KJAX,FLKK,4333.86,15855.3,192,6,1,0,0,,,,,,,B752,33,149.5
SAS87,B789,MMTJ,OEAB,4777.14,15855.36,184.6,0,0,0,0,,,,,,,A346,42,156.8
LOT384,A339,KICT,DAAG,4935.66,15870.48,182.2,0,0,0,0,,,,,,,,,
EIN208,B772,CYUL,DAOR,5197.32,15910.32,178.6,0,0,0,0,,,,,,,,,
UAE850,B789,KSMF,FWKI,5302.98,15950.52,177.5,0,0,0,0,,,,,,,,,
UAE612,B789,CYVR,OIMM,5828.46,15989.82,169.4,0,0,0,0,,,,,,,,,
SWR711,A333,KBUF,VOHS,5011.62,16023.48,183.5,9,7,0,0,,,,,,,,,
TAP990,B744,KBTV,LSZH,6185.52,16030.08,164.1,25,11,7,0,,,,,,,,,
DAL87,B789,KICT,OIKB,5663.76,16056.42,173.2,0,0,0,0,,,,,,,,,
AAL859,A388,CYXX,VOMM,5893.8,16063.68,169.5,2,0,0,0,,,,,,,,,
SWR290,A388,CYOW,EDDB,5486.04,16308.3,180.4,0,0,1,0,,,,,,,,,
VIR939,A359,MMZP,OEJN,5547.84,16445.82,181.6,0,0,0,0,,,,,,,,,
BAW571,B789,CYHZ,EPKK,5777.4,16452.24,177.9,12,2,1,0,,,,,,,,,
AFR473,A359,KBWI,DAAG,5370.12,16491.54,185.4,2,0,1,0,,,,,,,,,
EIN923,B77W,MMCL,VIDP,5994.36,16654.98,177.7,1,0,1,0,,,,,,,,,
