Callsign, AircraftType, Departure, Destination, SpawnTime, DespawnTime,Flight Time, Info, TA, RA, !BOOM!,,,,,,,,,
ETD173,B748,CYXX,GMMX,2247.78,12109.26,164.4,0,0,0,0,,,,,,,,,
KLM719,B77W,KDSM,OIFM,1806.24,12819.6,183.6,0,0,0,0,,,,,,,Aircraft Type,Number of Aircraft,Average Crossing Time
UAE549,B788,KALB,OEDF,2771.04,13657.44,181.4,0,0,0,0,,,,,,,B789,267,135.5
IBE543,B748,KPDX,LGAV,3284.28,13882.26,176.6,0,0,0,0,,,,,,,B77W,247,128.3
EIN1,B77W,KBUF,LROP,3676.26,13927.2,170.8,0,1,0,0,,,,,,,B788,231,133.6
BAW445,B77L,KBUF,DIAP,3030.06,14214.66,186.4,0,1,0,0,,,,,,,B772,229,164.4
THY222,B744,KBIL,ORBI,3504.84,14353.32,180.8,0,0,0,0,,,,,,,A359,174,129.7
AFR491,A333,KALB,OIKB,2409.24,14405.82,199.9,0,0,0,0,,,,,,,A333,185,139.5
UAE108,B789,CYYT,LBSF,3994.14,14471.94,174.6,0,0,0,0,,,,,,,A332,137,142
EIN312,B789,CYYJ,UTAA,4518.36,14833.2,171.9,0,0,0,0,,,,,,,A339,132,142.3
DAL984,B789,CYYG,OJAI,3841.56,14858.34,183.6,0,0,0,0,,,,,,,A35K,106,144.5
SWR61,A343,KMSN,DAOR,4278.06,15236.34,182.6,0,0,0,0,,,,,,,B77L,78,134.5
AFR154,A332,KMSP,OMDB,4163.16,15369.96,186.8,291,3,0,0,,,,,,,B748,72,160.1
KLM103,A388,KCLT,OBBI,5042.94,15382.08,172.3,0,0,0,0,,,,,,,B78X,66,154.1
UAL802,A333,CYEG,OIKB,4396.38,15542.7,185.8,97,1,0,0,,,,,,,B763,108,182.1
AFR311,A388,KTPA,LFLL,5662.26,15614.4,165.9,0,0,0,0,,,,,,,B744,79,156.2
UAE36,B789,KJFK,EHAM,5302.08,15674.88,172.9,14,23,11,0,,,,,,,B764,53,180.9
KLM648,B78X,CYYJ,OYAA,4841.58,15785.22,182.4,0,0,0,0,,,,,,,A388,45,159.4
THY126,A35K,KSYR,DNMM,5202.66,15823.86,177,2,5,2,0,,,,,,,A343,26,141.6
ETD502,A35K,CYQB,UAII,4655.34,15891.06,187.3,104,0,0,0,,,,,,,B752,19,152
UAL450,A333,MMMX,EDDB,4942.32,15916.02,182.9,0,0,0,0,,,,,,,A346,23,165.6
AFR92,B77L,KDSM,VOHS,5116.56,15921.6,180.1,0,0,0,0,,,,,,,,,
THY528,B789,CYYZ,EDDP,5441.34,16153.44,178.5,1,0,0,0,,,,,,,,,
DLH20,B772,KMCO,HAAB,4737.48,16511.34,196.2,0,0,0,0,,,,,,,,,
SWR690,B772,KSEA,HKJK,5802.78,16621.8,180.3,55,0,2,0,,,,,,,,,
DAL348,B77L,CYZF,DTTA,6166.44,16774.8,176.8,6,43,0,0,,,,,,,,,
