Callsign,Aircraft Type,Departure,Destination,Departure Time (UTC)
AFR780,B772,LFPG,TFFR,N/A
SWR66,A333,LSZH,KMIA,N/A
EZY8035,A320,EGKK,GCTS,N/A
KLM743,B77W,EHAM,SPJC,N/A
RYR7563,B738,GCTS,EDLV,N/A
DJT100,A21N,LFPO,KEWR,N/A
EIN52,A332,KSEA,EIDW,N/A
SAS596,A20N,BIKF,EKCH,N/A
THY34,B789,KIAH,LTFM,N/A
KLM745,B78X,EHAM,SKBO,N/A
RAM211,B788,CYYZ,GMMN,N/A
TOM168,B788,EGCC,MDPC,N/A
VKG1086,A321,EKYT,GCLP,N/A
N98LE,GLEX,KMCO,EDDF,N/A
CLX6821,B744,SBKP,ELLX,N/A
CFG1466,A21N,EDDP,GCLP,N/A
IBE243,A359,LEMD,MROC,N/A
DAL243,A339,EHAM,KBOS,N/A
DAL73,A333,EHAM,KATL,N/A
VIR73,A333,EGCC,KMCO,N/A
TUN5,,,Unknown,N/A
DLH400,A346,EDDF,KJFK,N/A
LVKAX,,GCTS,Unknown,N/A
KLM757,B78X,EHAM,MPTO,N/A
AAL45,B788,LFPG,KJFK,N/A
FFT3571,A21N,KEWR,TJSJ,N/A
RYR4754,B738,GCTS,EGGD,N/A
EIN68,A333,KLAX,EIDW,N/A
DAL81,A339,LFPG,KSEA,N/A
EIN133,A21N,EIDW,KBOS,N/A
AAL49,B788,LFPG,KDFW,N/A
DAL2,A332,EGLL,KJFK,N/A
EJM519,GLF6,KIAD,LEMG,N/A
AAL51,B77W,EGLL,KDFW,N/A
BAW253,B772,EGLL,MYNN,N/A
DLH408,A333,EDDF,KRDU,N/A
DAL83,A339,LFPG,KATL,N/A
DAL84,A359,KATL,LFPG,N/A
AFR175,B789,MMMX,LFPG,N/A
BAW255,B78X,EGLL,TBPB,N/A
TRA6674,A321,GCTS,EHAM,N/A
VIR7,A35K,EGLL,KLAX,N/A
DAL87,A332,EDDF,KDTW,N/A
TAP1686,A320,LPMA,LPPT,N/A
BMA301,E75L,TXKF,KBOS,N/A
TOM192,B788,EGCC,MMUN,N/A
AFR497,B772,SPJC,LFPG,N/A
IBE265,A332,LEMD,MDSD,N/A
AFR22,B77W,LFPG,KLAX,N/A
CLX5801,B748,KJFK,ELLX,N/A
TAP1689,A320,LPPT,LPMA,N/A
IBE2624,A332,KLAX,LEBL,N/A
AFR498,A332,LFPG,TNCM,N/A
IBB5733,E295,LEGR,GCLP,N/A
AAL63,B788,LFPG,KMIA,N/A
DLH422,A332,EDDF,KBOS,N/A
BAW895,A21N,BIKF,EGLL,N/A
EZY2734,A321,GCRR,EGGD,N/A
EIN777,A320,GCRR,EIDW,N/A
BAW268,A388,KLAX,EGLL,N/A
PVL2250,DH8D,CYHZ,CYYT,N/A
QTR8104,B77L,KORD,OTHH,N/A
AFR30,A359,LFPG,KATL,N/A
TFL365,B788,EHAM,TNCC,N/A
TOM9EG,B738,EGBB,Unknown,N/A
AAL69,B772,LEMD,KMIA,N/A
DAL273,B764,LPPT,KJFK,N/A
AZG8112,B748,ELLX,KJFK,N/A
EXS1724,B738,BIKF,EGCC,N/A
PVL2253,DH8D,CYYT,CYHZ,N/A
BAW274,A35K,KLAS,EGLL,N/A
TOM214,B38M,EGCC,GVAC,N/A
TOM532,B38M,EGKK,GVBA,N/A
KLM787,A332,EHAM,TNCM,N/A
TOM38,B789,EGKK,MMUN,N/A
AFR6741,B77L,KORD,LFPG,N/A
RYR95,B738,GCLP,EIDW,N/A
AAL79,B77W,EGLL,KDFW,N/A
UAL3045,B764,LEMD,KEWR,N/A
AFR842,B77W,LFPO,TFFF,N/A
DLH438,A343,EDDF,KDFW,N/A
BAW283,B77W,EGLL,KLAX,N/A
FHM1542,A320,GCFV,Unknown,N/A
TOM44,B789,EGKK,MKJS,N/A
DLH440,A333,EDDF,KIAH,N/A
BAW286,B77W,KSFO,EGLL,N/A
DLH442,A343,EDDF,KDTW,N/A
CFG1522,A321,EDDM,GCFV,N/A
UAE206,A388,KJFK,LIMC,N/A
DLH444,A343,EDDF,KATL,N/A
ICE417,B38M,EIDW,BIKF,N/A
OYHVH,,BGGH,Unknown,N/A
RZO140,A320,LPPI,LPPT,N/A
EXS917,A321,EGCC,GCTS,N/A
CRL926,A339,LFPO,TFFR,N/A
AAL93,B788,LSZH,KPHL,N/A
BAW295,B789,EGLL,KORD,N/A
PVL901,DH8D,CYDF,CYYR,N/A
AAL95,B788,LEMD,KJFK,N/A
DLH454,B748,EDDF,KSFO,N/A
PVL2279,DH8D,CYYR,CYHZ,N/A
IBE312,A359,MMMX,LEMD,N/A
DLH456,B748,EDDF,KLAX,N/A
AAR587,B744,KJFK,EBBR,N/A
DLH459,A359,KSFO,EDDM,N/A
FDX5038,B77L,KMEM,EDDK,N/A
JBU1621,A21N,EGLL,KBOS,N/A
DLH462,B748,EDDF,KMIA,N/A
FNA574,DHC6,BIRK,BIGJ,N/A
BEL3781,A20N,EBBR,GCTS,N/A
AFR68,B772,LFPG,KPHX,N/A
EZY6342,A320,BIKF,EGKK,N/A
QTR755,A35K,OTHH,KATL,N/A
UAL249,B752,GCTS,KEWR,N/A
UAL879,B772,EGLL,KIAH,N/A
DLH468,B789,EDDF,KAUS,N/A
KLM195,B77W,EHAM,SMJP,N/A
TAP51,A21N,LPPT,SBBE,N/A
FPY401,A21N,LFPG,BIKF,N/A
UAL883,B763,EGLL,KEWR,N/A
BAW84,A35K,CYVR,EGLL,N/A
TAP57,A339,LPPT,SBBR,N/A
IBE333,A332,LEMD,KMIA,N/A
AFR2,A359,LFPG,KJFK,N/A
UAL900,B772,EGLL,KSFO,N/A
